,"X,Y","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Microondas""
48:F8:B3:22:4D:4B","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""CE5CFB""
98:FC:11:E2:A6:A5","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab ERNC""
00:90:4C:91:00:03","""eduroam""
84:D4:7E:29:3E:82","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""FabLab""
AC:84:C6:3E:EF:51","""Vibraciones""
50:C7:BF:DD:C3:B3","""Baxter""
EC:22:80:F3:EB:EA","""Lab 212""
00:23:CD:18:65:9C","""Eduescob1""
68:FF:7B:1D:44:01","""AP_1612927617""
BC:54:F9:FC:7F:60","""LabSerc 2.4""
94:10:3E:86:13:20","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""Docentes FI""
0E:18:D6:CB:01:A4","""LabControl_Postgrado""
64:70:02:A0:52:12","""Wifi CADIMAT""
F4:EC:38:E6:55:2E"
31,"(2,2)",-51,-53,-53,-61,-57,-53,-71,-39,-57,-55,-65,-67,-65,-67,-73,-67,-71,-53,-53,-67,-87,-87,-77
32,"(2,2)",-51,-51,-55,-67,-57,-53,-73,-39,-59,-55,-65,-67,-67,-65,-73,-65,-71,-51,-51,-67,-87,-89,-79
33,"(2,2)",-47,-53,-53,-65,-55,-51,-71,-39,-57,-55,-67,-67,-67,-65,-75,-69,-71,-51,-51,-73,-87,-89,-79
34,"(2,2)",-53,-53,-53,-67,-55,-53,-71,-43,-59,-55,-67,-67,-67,-65,-75,-69,-71,-53,-51,-63,-87,-89,-79
35,"(2,2)",-53,-55,-51,-69,-55,-55,-75,-41,-57,-55,-67,-69,-67,-65,-75,-71,-71,-53,-51,-63,-87,-89,-79
36,"(2,2)",-53,-53,-55,-69,-55,-53,-73,-39,-57,-57,-63,-65,-67,-65,-77,-69,-71,-51,-53,-63,-87,-89,-81
37,"(2,2)",-53,-51,-55,-61,-55,-53,-75,-39,-57,-57,-63,-67,-69,-65,-77,-69,-71,-51,-53,-63,-87,-89,-81
38,"(2,2)",-45,-51,-51,-55,-55,-53,-71,-39,-61,-55,-57,-67,-69,-65,-77,-67,-67,-51,-53,-65,-87,-89,-79
39,"(2,2)",-53,-53,-53,-67,-55,-53,-75,-43,-61,-57,-57,-67,-69,-65,-77,-65,-67,-53,-53,-63,-87,-89,-79
40,"(2,2)",-53,-53,-55,-65,-55,-55,-71,-41,-57,-55,-57,-67,-69,-65,-77,-67,-69,-53,-53,-63,-87,-89,-77
41,"(2,2)",-53,-53,-53,-67,-55,-55,-73,-43,-59,-55,-65,-67,-69,-65,-77,-71,-69,-53,-53,-63,-87,-87,-77
42,"(2,2)",-53,-53,-53,-67,-55,-53,-73,-39,-55,-55,-65,-67,-69,-65,-77,-65,-69,-53,-53,-67,-85,-87,-79
43,"(2,2)",-53,-55,-57,-69,-55,-53,-75,-39,-57,-57,-65,-67,-69,-63,-79,-67,-69,-53,-53,-67,-85,-85,-79
44,"(2,2)",-53,-81,-53,-67,-55,-53,-75,-43,-57,-57,-65,-67,-69,-65,-77,-67,-69,-53,-53,-67,-87,-85,-81
45,"(2,2)",-53,-53,-51,-65,-55,-53,-75,-39,-59,-55,-65,-69,-67,-65,-77,-65,-69,-53,-53,-63,-87,-85,-79
46,"(2,2)",-53,-53,-61,-65,-55,-53,-73,-43,-59,-55,-67,-65,-63,-65,-79,-71,-69,-53,-53,-63,-87,-85,-77
47,"(2,2)",-51,-53,-53,-67,-53,-53,-75,-43,-57,-55,-67,-71,-67,-65,-79,-65,-69,-53,-51,-55,-87,-85,-79
48,"(2,2)",-55,-53,-51,-59,-55,-53,-75,-43,-57,-55,-65,-65,-57,-67,-73,-67,-69,-53,-51,-55,-89,-85,-79
49,"(2,2)",-53,-55,-73,-65,-55,-53,-73,-43,-57,-55,-61,-65,-57,-67,-73,-63,-71,-53,-53,-57,-89,-87,-77
50,"(2,2)",-53,-51,-53,-65,-53,-53,-71,-39,-61,-57,-65,-67,-65,-65,-73,-67,-71,-53,-53,-63,-89,-87,-77
51,"(2,2)",-55,-53,-57,-61,-55,-53,-75,-43,-57,-57,-65,-65,-69,-65,-73,-69,-69,-53,-51,-63,-87,-85,-77
52,"(2,2)",-53,-49,-53,-67,-55,-53,-71,-43,-57,-55,-67,-67,-69,-65,-73,-67,-71,-53,-53,-63,-87,-85,-79
53,"(2,2)",-53,-55,-49,-65,-55,-53,-75,-37,-57,-55,-57,-67,-69,-65,-71,-65,-69,-53,-53,-65,-87,-85,-77
54,"(2,2)",-53,-53,-51,-65,-55,-53,-71,-39,-61,-57,-65,-71,-67,-65,-71,-67,-69,-53,-53,-65,-87,-85,-79
55,"(2,2)",-53,-71,-55,-61,-55,-53,-73,-39,-57,-55,-67,-67,-69,-65,-71,-65,-69,-53,-51,-63,-87,-87,-79
56,"(2,2)",-53,-53,-55,-65,-55,-53,-73,-43,-59,-55,-65,-71,-69,-65,-71,-69,-69,-53,-51,-63,-87,-87,-79
57,"(2,2)",-53,-53,-51,-59,-53,-53,-73,-43,-59,-55,-63,-65,-69,-65,-71,-65,-69,-53,-51,-63,-87,-87,-79
58,"(2,2)",-53,-91,-57,-67,-55,-53,-73,-43,-59,-65,-63,-65,-67,-65,-71,-63,-71,-53,-53,-63,-87,-87,-79
59,"(2,2)",-53,-53,-77,-67,-55,-53,-73,-41,-55,-57,-57,-65,-67,-63,-71,-63,-69,-53,-53,-65,-89,-83,-77
60,"(2,2)",-53,-53,-55,-65,-55,-53,-71,-43,-59,-55,-61,-67,-67,-63,-71,-67,-69,-51,-53,-65,-87,-85,-77
61,"(2,2)",-53,-53,-55,-59,-55,-53,-69,-43,-59,-55,-67,-65,-67,-63,-71,-69,-69,-53,-53,-65,-87,-85,-79
62,"(2,2)",-53,-53,-57,-67,-55,-53,-71,-43,-59,-55,-57,-65,-67,-63,-71,-71,-69,-53,-51,-61,-87,-85,-79
63,"(2,2)",-53,-55,-87,-67,-55,-53,-73,-43,-61,-55,-57,-67,-69,-63,-71,-65,-69,-53,-53,-57,-87,-85,-79
64,"(2,2)",-53,-53,-57,-51,-55,-53,-75,-43,-57,-55,-57,-65,-69,-69,-71,-67,-71,-53,-53,-57,-87,-85,-79
65,"(2,2)",-51,-53,-53,-67,-55,-53,-75,-43,-59,-55,-63,-67,-69,-69,-73,-65,-71,-53,-53,-57,-87,-89,-77
66,"(2,2)",-51,-53,-49,-55,-55,-53,-73,-39,-55,-57,-67,-67,-69,-65,-73,-67,-71,-51,-53,-63,-87,-83,-79
67,"(2,2)",-53,-55,-53,-61,-55,-53,-71,-39,-55,-57,-63,-67,-65,-65,-73,-65,-71,-89,-53,-59,-87,-83,-79
68,"(2,2)",-53,-87,-51,-61,-53,-53,-73,-39,-61,-57,-63,-69,-67,-65,-73,-69,-71,-51,-53,-65,-87,-83,-79
69,"(2,2)",-53,-53,-55,-65,-55,-53,-75,-39,-59,-57,-63,-71,-67,-65,-73,-65,-71,-51,-53,-63,-87,-83,-79
70,"(2,2)",-47,-53,-53,-65,-55,-53,-71,-39,-59,-57,-67,-71,-67,-65,-73,-67,-71,-51,-53,-63,-87,-83,-79
71,"(2,2)",-51,-53,-51,-67,-55,-53,-75,-43,-59,-55,-65,-67,-65,-69,-73,-65,-71,-53,-51,-63,-87,-87,-77
72,"(2,2)",-51,-51,-53,-65,-55,-53,-75,-39,-59,-57,-55,-67,-65,-69,-73,-67,-71,-51,-53,-63,-89,-87,-79
73,"(2,2)",-53,-53,-53,-59,-55,-53,-69,-37,-59,-55,-63,-67,-65,-69,-73,-67,-71,-53,-51,-65,-89,-85,-79
74,"(2,2)",-53,-53,-57,-61,-55,-53,-75,-37,-59,-55,-63,-65,-65,-63,-73,-67,-71,-53,-51,-57,-89,-85,-79
75,"(2,2)",-47,-53,-51,-55,-55,-55,-75,-39,-59,-55,-63,-69,-67,-67,-73,-67,-69,-53,-51,-57,-89,-85,-79
76,"(2,2)",-53,-53,-53,-59,-55,-53,-71,-43,-59,-55,-57,-69,-67,-65,-73,-67,-69,-53,-51,-57,-89,-85,-79
77,"(2,2)",-53,-53,-51,-61,-55,-53,-75,-43,-57,-55,-57,-65,-67,-67,-73,-69,-69,-53,-51,-65,-89,-85,-79
78,"(2,2)",-53,-53,-55,-57,-55,-53,-69,-37,-59,-55,-57,-67,-67,-67,-73,-69,-71,-53,-51,-65,-89,-87,-79
79,"(2,2)",-53,-53,-53,-61,-55,-53,-75,-43,-57,-55,-57,-71,-67,-67,-73,-67,-73,-53,-51,-65,-89,-87,-79
80,"(2,2)",-53,-53,-55,-61,-55,-53,-73,-43,-57,-55,-57,-71,-69,-67,-73,-69,-71,-53,-51,-65,-89,-87,-79
81,"(2,2)",-53,-53,-55,-65,-55,-53,-71,-45,-59,-55,-57,-67,-69,-67,-75,-69,-69,-53,-53,-63,-87,-81,-73
82,"(2,2)",-55,-53,-71,-61,-55,-53,-71,-39,-59,-57,-63,-67,-69,-65,-75,-67,-69,-53,-53,-63,-85,-81,-71
83,"(2,2)",-53,-53,-53,-67,-55,-53,-75,-39,-61,-57,-65,-69,-67,-67,-75,-65,-69,-53,-53,-63,-87,-79,-71
84,"(2,2)",-53,-51,-51,-67,-53,-53,-75,-43,-57,-57,-57,-67,-67,-67,-71,-65,-69,-53,-53,-63,-85,-79,-73
85,"(2,2)",-53,-53,-53,-67,-55,-53,-75,-55,-59,-55,-57,-67,-65,-65,-71,-67,-69,-53,-53,-63,-85,-79,-73
86,"(2,2)",-55,-53,-51,-67,-55,-53,-75,-43,-57,-55,-57,-67,-67,-65,-75,-65,-69,-51,-51,-63,-85,-79,-73
87,"(2,2)",-53,-53,-53,-67,-55,-53,-75,-45,-57,-55,-57,-67,-67,-65,-75,-67,-69,-51,-51,-63,-85,-79,-73
88,"(2,2)",-53,-51,-51,-67,-55,-53,-73,-43,-57,-55,-57,-67,-67,-65,-75,-69,-71,-51,-51,-63,-85,-79,-73
89,"(2,2)",-53,-53,-51,-59,-55,-53,-71,-43,-61,-57,-63,-67,-67,-65,-75,-67,-71,-53,-53,-63,-83,-79,-73
90,"(2,2)",-53,-53,-51,-59,-53,-53,-71,-41,-61,-57,-61,-67,-63,-65,-75,-67,-73,-53,-53,-63,-83,-79,-73
91,"(2,2)",-53,-53,-51,-59,-57,-53,-75,-43,-61,-55,-73,-65,-65,-65,-75,-69,-73,-53,-51,-57,-83,-81,-69
92,"(2,2)",-53,-51,-49,-61,-53,-53,-77,-43,-59,-55,-73,-67,-69,-65,-75,-69,-73,-53,-51,-63,-83,-79,-69
93,"(2,2)",-55,-53,-51,-61,-55,-53,-71,-39,-59,-55,-63,-65,-69,-69,-75,-65,-73,-83,-51,-65,-83,-61,-69
94,"(2,2)",-53,-55,-49,-65,-55,-53,-75,-43,-61,-55,-63,-71,-69,-69,-75,-67,-71,-83,-51,-65,-83,-61,-71
95,"(2,2)",-53,-53,-51,-59,-55,-53,-73,-43,-61,-55,-67,-71,-69,-67,-75,-67,-71,-51,-53,-71,-85,-61,-73
96,"(2,2)",-53,-53,-77,-59,-57,-53,-73,-43,-59,-55,-63,-67,-69,-69,-75,-67,-71,-53,-53,-71,-85,-81,-69
97,"(2,2)",-55,-51,-53,-67,-55,-53,-75,-41,-61,-55,-57,-67,-69,-69,-75,-67,-71,-53,-53,-65,-87,-81,-73
98,"(2,2)",-53,-51,-57,-67,-55,-53,-73,-39,-59,-55,-57,-65,-69,-69,-75,-61,-69,-51,-53,-63,-87,-79,-71
99,"(2,2)",-53,-51,-53,-61,-57,-53,-67,-43,-59,-55,-63,-69,-67,-65,-75,-67,-71,-51,-53,-65,-85,-79,-73
100,"(2,2)",-53,-55,-55,-59,-55,-53,-73,-43,-59,-55,-63,-67,-67,-67,-75,-65,-73,-53,-51,-63,-87,-79,-69
101,"(2,2)",-53,-53,-53,-57,-55,-53,-69,-43,-61,-55,-63,-65,-67,-67,-75,-69,-73,-51,-53,-59,-87,-79,-77
102,"(2,2)",-53,-73,-53,-57,-55,-53,-73,-43,-57,-55,-63,-67,-67,-67,-75,-65,-71,-51,-53,-59,-87,-79,-73
103,"(2,2)",-55,-53,-57,-57,-55,-53,-75,-39,-61,-55,-59,-65,-63,-65,-75,-67,-71,-53,-53,-63,-83,-79,-71
104,"(2,2)",-53,-55,-53,-59,-55,-53,-75,-37,-61,-55,-57,-71,-61,-65,-75,-67,-71,-53,-53,-61,-83,-79,-73
105,"(2,2)",-53,-53,-55,-57,-55,-53,-75,-43,-61,-55,-63,-65,-67,-65,-73,-65,-69,-53,-51,-61,-83,-79,-71
106,"(2,2)",-53,-53,-57,-67,-55,-53,-75,-39,-57,-55,-65,-69,-63,-63,-73,-67,-69,-53,-51,-61,-83,-79,-71
107,"(2,2)",-55,-53,-55,-67,-55,-53,-73,-43,-57,-57,-65,-65,-61,-63,-73,-67,-69,-53,-53,-63,-83,-83,-69
108,"(2,2)",-55,-53,-53,-67,-53,-55,-75,-43,-57,-55,-57,-65,-67,-63,-79,-67,-71,-85,-53,-63,-89,-83,-71
109,"(2,2)",-53,-53,-53,-57,-55,-53,-71,-43,-61,-55,-57,-69,-67,-63,-79,-67,-71,-53,-51,-63,-85,-79,-77
110,"(2,2)",-53,-53,-53,-67,-57,-53,-73,-39,-61,-55,-57,-69,-67,-65,-71,-67,-71,-53,-53,-63,-87,-79,-71
111,"(2,2)",-53,-53,-55,-65,-53,-55,-73,-39,-57,-55,-59,-65,-67,-65,-77,-65,-71,-53,-53,-63,-87,-77,-71
112,"(2,2)",-45,-53,-51,-65,-55,-53,-75,-43,-57,-55,-59,-69,-67,-63,-77,-65,-71,-53,-53,-61,-89,-81,-71
113,"(2,2)",-53,-53,-51,-61,-55,-53,-71,-43,-57,-55,-59,-65,-67,-69,-77,-63,-71,-53,-53,-63,-81,-79,-71
114,"(2,2)",-53,-53,-53,-61,-55,-55,-71,-39,-59,-55,-61,-69,-67,-69,-77,-65,-71,-51,-51,-63,-81,-79,-71
115,"(2,2)",-53,-53,-51,-67,-55,-53,-71,-43,-57,-55,-57,-69,-67,-67,-77,-67,-71,-51,-53,-63,-81,-79,-73
116,"(2,2)",-53,-53,-53,-61,-55,-53,-69,-43,-59,-55,-63,-69,-65,-67,-79,-67,-71,-51,-53,-65,-81,-79,-77
117,"(2,2)",-51,-53,-51,-61,-53,-53,-75,-43,-57,-55,-63,-71,-65,-63,-75,-65,-71,-51,-53,-65,-81,-75,-71
118,"(2,2)",-51,-47,-53,-61,-55,-53,-71,-43,-57,-55,-63,-71,-65,-67,-75,-65,-71,-51,-53,-63,-81,-75,-71
119,"(2,2)",-53,-53,-53,-55,-55,-53,-73,-43,-57,-55,-55,-65,-63,-67,-73,-65,-71,-53,-51,-63,-83,-79,-71
120,"(2,2)",-51,-53,-53,-67,-55,-53,-73,-43,-59,-55,-55,-65,-67,-67,-73,-67,-71,-53,-51,-67,-83,-77,-75
121,"(2,2)",-53,-55,-53,-67,-55,-53,-75,-79,-59,-55,-63,-65,-67,-65,-77,-67,-71,-53,-51,-67,-85,-79,-71
122,"(2,2)",-53,-53,-57,-59,-55,-53,-75,-41,-61,-55,-63,-65,-67,-63,-77,-65,-71,-53,-51,-67,-83,-79,-71
123,"(2,2)",-53,-53,-51,-65,-55,-51,-75,-43,-57,-55,-57,-69,-65,-69,-77,-67,-71,-53,-51,-67,-83,-81,-77
124,"(2,2)",-55,-53,-51,-55,-53,-53,-71,-43,-79,-55,-57,-67,-65,-67,-77,-69,-71,-53,-51,-63,-83,-73,-71
125,"(2,2)",-53,-53,-51,-63,-55,-53,-73,-43,-59,-55,-57,-67,-65,-63,-73,-65,-71,-53,-51,-63,-83,-79,-71
126,"(2,2)",-53,-53,-53,-65,-55,-53,-73,-43,-59,-55,-57,-67,-65,-67,-71,-67,-71,-53,-51,-63,-85,-75,-71
127,"(2,2)",-53,-53,-53,-59,-55,-53,-73,-37,-59,-55,-57,-67,-63,-67,-77,-65,-71,-53,-53,-63,-85,-75,-75
128,"(2,2)",-53,-53,-51,-67,-55,-53,-75,-43,-57,-55,-63,-63,-67,-67,-75,-69,-65,-51,-53,-65,-85,-75,-75
129,"(2,2)",-53,-53,-57,-65,-55,-53,-75,-43,-59,-55,-63,-63,-67,-67,-75,-65,-65,-51,-53,-67,-87,-79,-77
130,"(2,2)",-53,-55,-53,-67,-55,-53,-73,-37,-57,-55,-63,-63,-65,-67,-75,-69,-69,-51,-53,-65,-87,-79,-71
131,"(2,2)",-53,-53,-51,-59,-55,-51,-75,-39,-57,-51,-63,-67,-67,-67,-75,-69,-75,-53,-51,-65,-87,-79,-71
132,"(2,2)",-53,-53,-55,-65,-55,-53,-75,-43,-55,-51,-63,-65,-67,-65,-75,-67,-75,-51,-51,-65,-87,-79,-71
133,"(2,2)",-55,-73,-57,-61,-55,-53,-71,-43,-59,-55,-63,-65,-67,-67,-75,-65,-75,-51,-51,-65,-83,-77,-73
134,"(2,2)",-53,-53,-53,-61,-55,-53,-75,-79,-59,-55,-65,-69,-65,-67,-73,-67,-75,-53,-51,-65,-83,-77,-71
135,"(2,2)",-53,-53,-53,-61,-55,-53,-71,-43,-59,-55,-63,-69,-65,-67,-73,-65,-75,-85,-53,-65,-85,-77,-75
136,"(2,2)",-53,-51,-51,-79,-55,-53,-71,-43,-59,-53,-57,-69,-65,-67,-73,-65,-71,-53,-53,-63,-87,-77,-71
137,"(2,2)",-55,-55,-57,-57,-55,-53,-71,-43,-61,-53,-57,-71,-65,-63,-73,-65,-71,-53,-53,-63,-87,-79,-71
138,"(2,2)",-53,-53,-51,-59,-55,-53,-73,-43,-61,-53,-57,-69,-65,-69,-73,-65,-71,-53,-51,-63,-87,-79,-73
139,"(2,2)",-55,-53,-51,-53,-55,-53,-75,-39,-51,-55,-57,-67,-65,-63,-77,-65,-71,-53,-53,-63,-87,-79,-71
140,"(2,2)",-55,-53,-51,-59,-55,-53,-73,-43,-61,-55,-63,-67,-65,-63,-77,-65,-71,-51,-53,-65,-87,-79,-71
141,"(2,2)",-53,-53,-57,-59,-55,-53,-75,-43,-57,-55,-63,-67,-65,-67,-77,-69,-71,-51,-53,-65,-85,-79,-71
142,"(2,2)",-53,-53,-57,-59,-55,-53,-75,-73,-57,-55,-65,-67,-65,-67,-75,-69,-71,-53,-53,-65,-85,-81,-71
143,"(2,2)",-53,-53,-57,-59,-55,-53,-75,-39,-57,-53,-65,-65,-67,-65,-75,-67,-71,-53,-53,-63,-87,-79,-71
144,"(2,2)",-53,-53,-57,-67,-53,-53,-75,-41,-61,-53,-65,-65,-67,-65,-73,-67,-71,-53,-53,-63,-87,-79,-71
145,"(2,2)",-53,-53,-53,-59,-55,-53,-75,-39,-57,-55,-59,-69,-65,-65,-73,-65,-71,-53,-53,-63,-87,-79,-69
146,"(2,2)",-53,-53,-57,-67,-53,-53,-73,-43,-57,-57,-65,-67,-67,-65,-73,-69,-71,-53,-53,-63,-87,-79,-71
147,"(2,2)",-53,-53,-57,-67,-55,-53,-73,-43,-59,-57,-65,-69,-67,-65,-73,-67,-71,-85,-53,-63,-87,-81,-73
148,"(2,2)",-53,-53,-49,-67,-55,-53,-73,-45,-59,-55,-65,-67,-67,-65,-73,-63,-71,-53,-53,-65,-89,-81,-73
149,"(2,2)",-45,-53,-57,-75,-55,-53,-75,-37,-59,-55,-63,-65,-69,-65,-73,-67,-71,-53,-53,-63,-89,-81,-73
150,"(2,2)",-55,-53,-57,-59,-55,-53,-75,-41,-61,-55,-63,-67,-65,-65,-79,-65,-73,-53,-53,-63,-85,-79,-71
151,"(2,2)",-55,-53,-51,-61,-55,-53,-75,-37,-57,-55,-63,-67,-65,-65,-79,-65,-73,-51,-53,-63,-89,-77,-71
152,"(2,2)",-53,-63,-57,-67,-63,-53,-75,-55,-57,-55,-67,-69,-67,-65,-71,-67,-73,-51,-53,-63,-89,-77,-71
153,"(2,2)",-53,-53,-53,-59,-55,-53,-75,-53,-59,-57,-65,-67,-67,-65,-73,-69,-71,-51,-53,-67,-89,-77,-71
154,"(2,2)",-51,-53,-53,-65,-55,-53,-73,-43,-59,-57,-65,-67,-65,-61,-73,-65,-71,-51,-53,-65,-89,-77,-71
155,"(2,2)",-53,-53,-73,-59,-55,-53,-73,-73,-61,-55,-59,-69,-69,-61,-73,-65,-69,-53,-51,-65,-87,-79,-71
156,"(2,2)",-53,-51,-51,-67,-53,-53,-69,-43,-59,-55,-59,-67,-61,-63,-73,-65,-69,-53,-53,-65,-85,-81,-71
157,"(2,2)",-53,-51,-53,-59,-55,-53,-75,-43,-57,-55,-55,-67,-67,-63,-73,-71,-71,-53,-51,-63,-87,-79,-75
158,"(2,2)",-53,-53,-55,-61,-55,-51,-75,-43,-57,-55,-63,-69,-61,-63,-73,-65,-71,-53,-51,-63,-87,-77,-69
159,"(2,2)",-51,-53,-53,-61,-55,-53,-75,-43,-59,-57,-67,-71,-67,-67,-77,-71,-71,-53,-51,-63,-87,-77,-77
160,"(2,2)",-53,-53,-53,-55,-59,-53,-75,-39,-61,-55,-67,-65,-67,-65,-77,-69,-71,-53,-53,-63,-87,-81,-73
161,"(2,2)",-53,-53,-55,-59,-59,-55,-75,-39,-61,-55,-67,-67,-67,-65,-77,-69,-71,-53,-53,-65,-87,-81,-77
162,"(2,2)",-53,-53,-57,-59,-55,-53,-73,-43,-61,-55,-67,-65,-67,-65,-73,-67,-85,-53,-53,-65,-85,-79,-71
