"""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Vibraciones""
50:C7:BF:DD:C3:B3","""Lab ERNC""
00:90:4C:91:00:03","""AP_1612927617""
BC:54:F9:FC:7F:60","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""CE5CFB""
98:FC:11:E2:A6:A5","""Microondas""
48:F8:B3:22:4D:4B","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""FabLab""
AC:84:C6:3E:EF:51","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Docentes FI""
0E:18:D6:CB:01:A4","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""LCDA""
B0:48:7A:DE:14:8C","""Baxter""
EC:22:80:F3:EB:EA","""Lab 212""
00:23:CD:18:65:9C","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""Die231""
EC:08:6B:42:B5:4A","""eduroam""
84:D4:7E:29:3E:82","""HP-Print-72-LaserJet 1025""
B8:76:3F:9C:2A:72","""solidoswi""
00:4F:6A:0A:1B:6A","""Eduescob1""
68:FF:7B:1D:44:01","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""eduroam""
84:D4:7E:29:3C:E2"
-67,-61,-55,-57,-65,-59,-75,-69,-49,-67,-61,-59,-51,-79,-61,-77,-59,-59,-77,-63,-79,-85,-81,-65,-81
-67,-61,-63,-57,-65,-63,-83,-67,-39,-67,-61,-59,-53,-79,-71,-77,-59,-59,-79,-63,-79,-85,-81,-65,-81
-67,-63,-61,-59,-63,-65,-83,-69,-49,-67,-61,-63,-53,-79,-71,-77,-59,-59,-79,-63,-79,-85,-83,-63,-81
-69,-85,-61,-57,-63,-67,-83,-69,-51,-67,-61,-63,-51,-77,-71,-77,-59,-59,-79,-61,-75,-85,-83,-63,-79
-69,-61,-61,-59,-65,-67,-81,-69,-37,-69,-61,-83,-55,-79,-69,-77,-83,-59,-79,-61,-75,-87,-79,-63,-81
-69,-61,-61,-57,-65,-65,-83,-69,-39,-65,-61,-61,-51,-79,-69,-75,-59,-59,-79,-61,-81,-87,-79,-61,-79
-69,-61,-61,-59,-63,-65,-81,-69,-39,-69,-61,-63,-53,-79,-71,-75,-59,-59,-79,-63,-81,-87,-83,-61,-79
-69,-61,-61,-59,-65,-65,-81,-67,-49,-65,-61,-59,-51,-79,-71,-73,-59,-59,-77,-63,-81,-87,-83,-61,-79
-69,-61,-61,-59,-65,-65,-83,-67,-37,-69,-61,-63,-51,-77,-59,-79,-59,-59,-79,-63,-81,-85,-79,-63,-79
-69,-87,-63,-57,-65,-65,-83,-69,-37,-71,-61,-63,-51,-75,-59,-77,-59,-59,-79,-61,-79,-87,-83,-63,-79
-67,-61,-61,-55,-65,-65,-79,-67,-49,-69,-61,-63,-53,-71,-61,-77,-89,-59,-79,-61,-79,-87,-85,-63,-79
-69,-63,-61,-59,-63,-65,-83,-69,-49,-69,-61,-63,-51,-71,-61,-77,-59,-59,-79,-61,-79,-75,-85,-59,-79
-65,-61,-61,-59,-63,-63,-83,-69,-49,-69,-61,-63,-49,-79,-57,-79,-59,-59,-79,-61,-79,-75,-79,-63,-79
-65,-61,-47,-61,-65,-67,-83,-67,-49,-67,-63,-63,-55,-79,-61,-77,-59,-59,-79,-63,-79,-85,-83,-63,-79
-67,-61,-61,-61,-65,-65,-83,-69,-49,-69,-61,-59,-49,-79,-61,-77,-59,-59,-79,-61,-79,-85,-83,-63,-79
-69,-63,-61,-61,-65,-65,-83,-69,-49,-69,-63,-63,-55,-77,-71,-83,-59,-59,-77,-61,-79,-85,-83,-65,-79
-69,-61,-63,-61,-67,-67,-77,-69,-37,-71,-63,-61,-51,-79,-71,-75,-59,-59,-77,-61,-75,-85,-83,-65,-79
-65,-63,-61,-57,-61,-65,-79,-69,-37,-67,-61,-61,-55,-79,-61,-75,-59,-59,-79,-61,-79,-85,-81,-63,-79
-69,-61,-61,-55,-61,-63,-81,-65,-39,-67,-63,-63,-55,-79,-61,-77,-59,-59,-79,-63,-81,-85,-79,-65,-79
-69,-61,-63,-57,-61,-65,-81,-69,-39,-69,-61,-63,-53,-79,-59,-77,-59,-59,-79,-63,-81,-85,-83,-63,-79
-67,-61,-61,-61,-65,-65,-83,-61,-49,-69,-63,-63,-53,-79,-59,-77,-59,-59,-79,-61,-79,-85,-79,-63,-77
-69,-63,-63,-59,-65,-67,-83,-69,-51,-69,-61,-63,-49,-79,-59,-77,-59,-59,-79,-61,-79,-85,-85,-63,-79
-67,-61,-61,-61,-59,-63,-83,-69,-39,-67,-63,-63,-55,-77,-61,-79,-59,-59,-79,-61,-79,-85,-81,-63,-81
-69,-61,-47,-55,-59,-63,-77,-69,-51,-69,-61,-63,-55,-77,-61,-77,-59,-59,-85,-61,-77,-85,-81,-63,-79
-69,-61,-63,-55,-63,-63,-83,-63,-51,-69,-63,-63,-55,-79,-59,-77,-59,-59,-85,-61,-81,-85,-81,-63,-79
-65,-61,-47,-59,-63,-65,-83,-67,-49,-67,-59,-63,-51,-79,-59,-77,-59,-59,-81,-61,-81,-85,-81,-63,-79
-67,-61,-61,-61,-65,-63,-83,-69,-39,-69,-57,-81,-53,-75,-59,-77,-59,-59,-81,-61,-81,-85,-81,-63,-73
-67,-61,-55,-61,-63,-63,-83,-69,-79,-69,-61,-63,-49,-77,-59,-77,-59,-59,-81,-61,-81,-85,-81,-63,-73
-67,-61,-61,-61,-65,-65,-83,-63,-79,-69,-63,-63,-77,-77,-69,-77,-59,-59,-79,-61,-81,-83,-79,-63,-73
-67,-61,-61,-55,-65,-65,-83,-63,-37,-67,-59,-63,-51,-77,-69,-77,-59,-59,-79,-61,-77,-87,-79,-63,-79
-69,-61,-45,-55,-65,-65,-83,-67,-49,-67,-61,-63,-51,-79,-69,-79,-59,-59,-79,-61,-79,-87,-83,-71,-79
-67,-61,-59,-57,-65,-63,-81,-67,-51,-69,-65,-63,-51,-89,-69,-77,-59,-59,-79,-61,-79,-87,-83,-63,-79
-69,-61,-61,-61,-65,-63,-83,-67,-51,-71,-65,-63,-49,-79,-69,-79,-79,-59,-79,-63,-75,-87,-83,-63,-79
-69,-61,-61,-61,-65,-65,-81,-67,-37,-69,-63,-63,-51,-79,-69,-77,-59,-61,-79,-63,-75,-87,-79,-63,-79
-67,-63,-61,-57,-65,-63,-83,-69,-51,-67,-59,-63,-55,-77,-69,-75,-59,-59,-79,-63,-77,-87,-85,-63,-81
-69,-61,-61,-55,-65,-63,-83,-67,-39,-67,-61,-63,-51,-79,-61,-75,-59,-59,-79,-61,-79,-87,-85,-61,-81
-67,-61,-61,-59,-65,-65,-81,-69,-51,-69,-61,-63,-51,-79,-61,-75,-59,-59,-79,-61,-79,-85,-83,-63,-81
-69,-61,-61,-59,-61,-65,-81,-69,-49,-69,-61,-63,-55,-77,-61,-73,-57,-59,-79,-61,-79,-85,-81,-63,-81
-69,-63,-63,-61,-65,-65,-83,-65,-49,-67,-63,-63,-53,-77,-67,-77,-59,-59,-77,-63,-79,-87,-83,-63,-79
-71,-61,-63,-55,-67,-65,-79,-65,-39,-69,-61,-63,-55,-79,-59,-75,-65,-65,-79,-65,-77,-87,-81,-59,-77
-65,-61,-61,-57,-65,-65,-79,-69,-51,-69,-61,-59,-49,-79,-59,-79,-63,-83,-79,-63,-77,-87,-81,-63,-81
-67,-61,-61,-57,-65,-65,-83,-69,-51,-71,-59,-63,-89,-77,-59,-77,-63,-83,-79,-63,-81,-87,-79,-63,-79
-69,-61,-61,-59,-65,-63,-83,-65,-51,-69,-61,-63,-53,-77,-59,-79,-59,-59,-79,-63,-81,-87,-85,-63,-79
-71,-61,-61,-55,-67,-63,-83,-73,-39,-67,-59,-63,-53,-77,-69,-77,-59,-59,-79,-63,-81,-89,-79,-63,-79
-69,-63,-61,-57,-65,-63,-81,-69,-37,-69,-59,-65,-53,-75,-61,-79,-59,-59,-79,-61,-81,-85,-81,-71,-81
-69,-61,-61,-59,-61,-67,-83,-65,-37,-69,-59,-65,-53,-79,-71,-77,-59,-59,-79,-61,-79,-85,-83,-71,-79
-69,-61,-61,-57,-65,-65,-83,-69,-39,-67,-61,-65,-55,-79,-71,-77,-59,-59,-79,-61,-79,-85,-83,-63,-79
-67,-61,-61,-55,-65,-65,-85,-69,-39,-69,-61,-63,-51,-75,-71,-77,-59,-59,-79,-61,-77,-85,-81,-63,-79
-67,-61,-55,-55,-63,-67,-85,-69,-39,-65,-61,-63,-53,-77,-71,-77,-59,-59,-79,-61,-79,-85,-81,-63,-75
-69,-63,-61,-57,-65,-67,-83,-69,-39,-69,-75,-63,-57,-77,-71,-77,-59,-59,-79,-77,-79,-85,-81,-63,-75
-69,-61,-63,-83,-61,-67,-83,-67,-49,-69,-61,-63,-57,-77,-71,-77,-59,-59,-79,-61,-77,-85,-77,-63,-75
-65,-63,-61,-55,-65,-67,-83,-67,-37,-71,-61,-63,-85,-79,-59,-77,-59,-59,-79,-61,-81,-83,-79,-63,-75
-65,-61,-61,-55,-65,-65,-81,-65,-37,-67,-61,-63,-53,-77,-59,-75,-59,-59,-79,-61,-79,-85,-79,-63,-79
-67,-61,-61,-55,-65,-65,-85,-69,-51,-69,-63,-65,-49,-77,-59,-77,-59,-59,-79,-61,-81,-85,-85,-75,-79
-65,-63,-63,-55,-65,-67,-85,-69,-39,-69,-61,-65,-55,-77,-69,-77,-59,-59,-79,-63,-81,-85,-85,-75,-81
-67,-61,-61,-55,-61,-65,-85,-69,-39,-67,-61,-61,-55,-77,-61,-77,-59,-59,-79,-61,-81,-85,-85,-75,-81
-67,-61,-61,-57,-65,-65,-85,-65,-39,-69,-63,-63,-51,-79,-69,-77,-59,-59,-79,-61,-77,-83,-83,-63,-81
-67,-61,-63,-57,-65,-81,-83,-65,-39,-69,-85,-63,-55,-77,-69,-77,-59,-59,-79,-61,-77,-83,-83,-63,-79
-67,-61,-61,-57,-65,-65,-81,-69,-51,-69,-61,-63,-55,-79,-69,-77,-59,-59,-79,-63,-81,-83,-83,-63,-79
-67,-63,-63,-55,-63,-65,-81,-69,-53,-67,-61,-63,-53,-79,-69,-75,-59,-59,-79,-61,-75,-83,-83,-59,-79
-65,-63,-63,-61,-65,-65,-81,-65,-39,-71,-61,-63,-51,-77,-71,-75,-59,-59,-79,-61,-75,-83,-83,-59,-79
-65,-63,-61,-59,-63,-65,-83,-65,-37,-69,-61,-63,-51,-77,-69,-77,-59,-59,-79,-61,-75,-83,-79,-63,-79
-67,-61,-61,-59,-63,-65,-83,-65,-37,-69,-61,-63,-55,-79,-71,-75,-59,-59,-79,-63,-81,-87,-83,-63,-79
-71,-61,-61,-59,-61,-65,-79,-71,-39,-65,-61,-61,-49,-77,-69,-77,-59,-59,-79,-61,-81,-87,-83,-63,-81
-67,-61,-61,-55,-61,-67,-83,-67,-39,-69,-63,-63,-53,-77,-67,-77,-59,-59,-79,-61,-79,-87,-83,-65,-81
-69,-61,-61,-59,-63,-63,-83,-69,-51,-69,-63,-63,-53,-77,-61,-75,-59,-59,-79,-63,-77,-87,-81,-63,-81
-67,-63,-63,-59,-65,-63,-81,-69,-51,-69,-63,-65,-53,-79,-69,-77,-59,-59,-79,-63,-77,-85,-79,-65,-79
-63,-63,-63,-57,-65,-63,-81,-67,-37,-69,-61,-63,-55,-77,-71,-75,-59,-59,-79,-63,-79,-85,-79,-63,-79
-67,-61,-61,-55,-61,-65,-81,-67,-49,-69,-61,-63,-53,-77,-69,-77,-59,-59,-79,-63,-79,-85,-79,-65,-79
-67,-63,-61,-55,-61,-67,-83,-69,-39,-71,-61,-65,-49,-77,-69,-75,-59,-59,-79,-61,-75,-87,-85,-63,-79
-67,-61,-61,-57,-65,-65,-83,-65,-39,-71,-61,-63,-57,-77,-69,-77,-59,-59,-79,-63,-75,-83,-79,-63,-79
-67,-63,-57,-57,-63,-65,-83,-69,-39,-69,-63,-63,-53,-77,-69,-77,-59,-59,-79,-61,-79,-83,-83,-63,-79
-63,-63,-61,-59,-65,-63,-81,-65,-39,-69,-61,-63,-53,-77,-61,-75,-59,-59,-79,-61,-77,-85,-83,-63,-79
-67,-63,-61,-57,-65,-65,-81,-69,-39,-69,-61,-63,-53,-77,-61,-77,-59,-59,-77,-61,-81,-85,-75,-63,-79
-65,-61,-63,-65,-63,-65,-83,-65,-39,-69,-59,-61,-53,-77,-61,-79,-59,-59,-79,-61,-81,-85,-75,-63,-79
-67,-61,-61,-57,-63,-65,-83,-65,-39,-67,-61,-63,-51,-77,-61,-79,-59,-59,-79,-61,-81,-85,-85,-63,-79
-67,-63,-63,-57,-63,-67,-83,-65,-39,-71,-61,-65,-57,-79,-69,-77,-59,-59,-79,-61,-79,-85,-79,-65,-81
-67,-85,-61,-57,-61,-65,-85,-69,-39,-71,-63,-63,-53,-79,-69,-75,-59,-59,-79,-61,-79,-85,-77,-63,-81
-67,-63,-61,-53,-63,-65,-85,-69,-51,-69,-63,-59,-55,-77,-69,-85,-59,-59,-79,-61,-79,-85,-77,-63,-81
-67,-63,-61,-57,-65,-61,-83,-67,-49,-69,-61,-59,-49,-75,-61,-75,-59,-59,-79,-61,-79,-85,-83,-61,-81
-63,-61,-61,-55,-65,-63,-83,-69,-39,-69,-63,-63,-49,-79,-61,-77,-61,-61,-79,-61,-79,-85,-83,-63,-81
-67,-61,-61,-57,-65,-63,-81,-69,-39,-69,-61,-63,-53,-79,-61,-75,-61,-61,-79,-61,-79,-85,-79,-63,-81
-67,-63,-61,-55,-65,-63,-83,-69,-39,-67,-61,-63,-55,-75,-71,-75,-59,-61,-79,-61,-79,-85,-77,-63,-79
-67,-63,-63,-57,-63,-63,-85,-69,-49,-69,-61,-59,-51,-77,-69,-77,-59,-59,-79,-61,-79,-87,-81,-63,-79
-69,-61,-63,-57,-65,-63,-85,-65,-39,-69,-61,-63,-53,-77,-69,-75,-59,-59,-79,-61,-71,-87,-81,-63,-79
-67,-61,-61,-57,-65,-65,-83,-67,-37,-71,-61,-63,-55,-75,-59,-75,-59,-59,-79,-61,-71,-87,-81,-65,-79
-65,-61,-61,-55,-65,-63,-81,-65,-39,-69,-63,-63,-53,-75,-61,-75,-59,-59,-79,-61,-71,-85,-83,-63,-79
-67,-61,-61,-57,-65,-67,-81,-65,-39,-69,-61,-63,-55,-77,-61,-73,-59,-61,-79,-63,-71,-87,-83,-63,-79
-67,-61,-63,-55,-65,-67,-81,-69,-51,-67,-63,-63,-51,-77,-59,-73,-59,-61,-79,-63,-71,-87,-83,-63,-79
-69,-63,-63,-55,-65,-65,-85,-69,-39,-69,-63,-63,-57,-79,-59,-77,-59,-61,-79,-61,-71,-83,-81,-63,-79
-67,-61,-61,-61,-63,-67,-81,-69,-39,-69,-61,-63,-55,-77,-61,-77,-59,-59,-79,-61,-75,-85,-79,-63,-79
-67,-61,-61,-57,-65,-65,-81,-67,-51,-67,-61,-65,-55,-73,-61,-77,-59,-59,-79,-61,-75,-85,-81,-73,-79
-65,-63,-61,-59,-63,-65,-83,-69,-39,-67,-61,-65,-55,-77,-61,-77,-59,-59,-63,-61,-75,-87,-81,-63,-79
-67,-59,-61,-59,-65,-67,-83,-69,-51,-69,-61,-65,-53,-77,-61,-77,-59,-59,-79,-61,-73,-87,-79,-63,-81
-67,-63,-61,-55,-59,-65,-81,-69,-49,-69,-61,-63,-53,-79,-59,-75,-59,-59,-77,-61,-73,-85,-83,-63,-81
-69,-63,-61,-57,-63,-65,-83,-67,-39,-67,-61,-63,-55,-77,-59,-77,-59,-59,-79,-61,-77,-89,-83,-63,-77
-67,-61,-61,-57,-63,-63,-83,-67,-51,-69,-63,-63,-57,-79,-69,-77,-59,-59,-79,-61,-77,-85,-83,-63,-77
-69,-63,-55,-57,-65,-65,-81,-67,-49,-71,-61,-63,-51,-77,-69,-75,-59,-59,-79,-61,-81,-85,-81,-63,-79
-65,-61,-63,-57,-65,-67,-83,-67,-37,-69,-61,-63,-87,-77,-69,-75,-59,-59,-79,-61,-79,-85,-83,-63,-79
-67,-61,-61,-61,-65,-67,-81,-85,-51,-69,-61,-75,-53,-77,-69,-75,-59,-59,-79,-61,-75,-85,-83,-63,-79
-67,-61,-63,-55,-67,-63,-81,-85,-51,-67,-61,-65,-53,-77,-69,-77,-59,-59,-79,-61,-75,-85,-79,-57,-79
-67,-61,-59,-55,-65,-63,-85,-65,-51,-69,-61,-65,-49,-79,-61,-77,-85,-59,-79,-61,-79,-87,-79,-65,-79
-67,-63,-53,-55,-65,-63,-83,-65,-49,-71,-61,-61,-53,-79,-61,-75,-59,-59,-79,-61,-81,-87,-79,-63,-79
-67,-61,-61,-57,-65,-63,-83,-65,-51,-71,-61,-63,-49,-79,-61,-75,-59,-59,-77,-61,-79,-87,-75,-63,-79
-69,-63,-63,-59,-65,-63,-83,-67,-49,-71,-63,-63,-53,-77,-69,-75,-59,-59,-81,-61,-79,-85,-75,-63,-79
-67,-61,-61,-57,-59,-63,-85,-71,-49,-67,-59,-63,-53,-77,-69,-77,-59,-57,-79,-63,-81,-87,-79,-63,-79
-63,-61,-61,-59,-65,-61,-81,-71,-37,-69,-61,-59,-77,-77,-69,-77,-59,-59,-79,-61,-75,-87,-79,-63,-79
-63,-61,-61,-59,-65,-61,-81,-65,-37,-65,-63,-63,-53,-79,-61,-77,-85,-59,-79,-61,-75,-87,-79,-63,-79
-69,-63,-55,-57,-63,-61,-83,-69,-37,-69,-61,-63,-53,-79,-59,-75,-59,-59,-79,-61,-75,-87,-83,-63,-79
-67,-61,-55,-57,-61,-61,-81,-67,-51,-69,-61,-63,-87,-77,-59,-77,-59,-59,-79,-61,-79,-87,-81,-63,-81
-67,-63,-61,-57,-65,-61,-81,-65,-51,-67,-61,-63,-51,-79,-69,-75,-59,-59,-79,-61,-79,-87,-81,-63,-81
-67,-63,-61,-59,-65,-61,-81,-69,-49,-69,-61,-63,-55,-79,-69,-75,-59,-59,-79,-61,-79,-87,-81,-63,-81
-67,-63,-59,-59,-65,-63,-81,-65,-49,-69,-61,-63,-51,-79,-69,-75,-59,-59,-79,-61,-79,-85,-77,-63,-75
-65,-61,-61,-59,-65,-61,-83,-65,-39,-67,-61,-63,-53,-79,-61,-77,-59,-59,-79,-61,-73,-85,-79,-63,-79
-67,-61,-61,-55,-67,-63,-83,-67,-39,-67,-59,-63,-55,-79,-71,-79,-59,-59,-79,-61,-79,-85,-81,-65,-77
-65,-61,-59,-55,-63,-61,-83,-65,-51,-69,-59,-63,-55,-79,-71,-73,-59,-59,-79,-61,-79,-87,-81,-63,-79
-67,-63,-61,-55,-65,-65,-83,-69,-51,-69,-61,-63,-49,-79,-71,-79,-59,-59,-79,-61,-79,-87,-83,-77,-79
-69,-63,-61,-55,-63,-61,-83,-69,-39,-69,-63,-63,-53,-79,-61,-77,-83,-59,-79,-79,-81,-85,-79,-65,-79
-69,-61,-61,-57,-63,-61,-85,-65,-37,-75,-63,-63,-49,-79,-61,-79,-83,-59,-79,-79,-79,-87,-83,-63,-79
-65,-63,-61,-59,-63,-61,-81,-69,-37,-63,-61,-63,-55,-77,-65,-77,-59,-59,-79,-61,-73,-85,-83,-63,-79
-67,-63,-61,-57,-63,-61,-83,-67,-39,-71,-59,-63,-49,-79,-69,-75,-59,-59,-79,-61,-79,-85,-83,-63,-79
-65,-63,-63,-55,-63,-61,-85,-69,-39,-69,-61,-63,-53,-79,-71,-79,-59,-59,-75,-61,-79,-85,-75,-63,-79
-67,-63,-61,-57,-63,-63,-83,-67,-37,-69,-57,-63,-55,-77,-71,-77,-59,-59,-79,-63,-79,-87,-81,-63,-77
-67,-61,-61,-55,-61,-63,-85,-65,-39,-71,-61,-63,-55,-79,-69,-75,-59,-59,-79,-63,-79,-87,-83,-65,-79
-67,-63,-61,-55,-67,-63,-83,-65,-37,-69,-63,-57,-53,-79,-59,-77,-59,-59,-79,-61,-79,-87,-83,-63,-79
-67,-63,-61,-55,-67,-61,-83,-69,-39,-71,-63,-57,-49,-77,-59,-77,-59,-59,-79,-61,-79,-85,-83,-63,-79
-67,-61,-61,-55,-67,-63,-83,-69,-39,-67,-61,-61,-53,-77,-61,-75,-59,-61,-79,-61,-79,-87,-83,-63,-81
-65,-61,-61,-57,-65,-63,-81,-69,-37,-69,-63,-63,-61,-79,-61,-77,-59,-61,-79,-61,-79,-87,-83,-75,-79
-67,-63,-61,-57,-65,-63,-81,-69,-37,-67,-63,-63,-55,-79,-61,-75,-59,-61,-79,-61,-77,-87,-83,-63,-79
-65,-63,-61,-55,-65,-67,-83,-69,-39,-69,-61,-63,-55,-77,-61,-75,-59,-59,-77,-61,-77,-87,-83,-63,-79
-67,-61,-61,-55,-65,-63,-85,-69,-59,-69,-61,-59,-51,-77,-71,-77,-59,-83,-77,-61,-77,-87,-83,-63,-79
-67,-61,-59,-55,-65,-61,-83,-65,-59,-69,-61,-63,-51,-77,-61,-77,-59,-59,-79,-63,-77,-87,-83,-63,-79
-67,-61,-59,-55,-65,-63,-85,-69,-51,-67,-61,-63,-51,-79,-61,-75,-59,-59,-77,-61,-79,-87,-83,-63,-79
-65,-61,-61,-55,-65,-63,-85,-69,-39,-69,-61,-63,-51,-77,-61,-73,-59,-59,-79,-61,-75,-87,-83,-63,-79
-67,-61,-61,-55,-65,-63,-83,-65,-39,-69,-59,-63,-49,-79,-69,-75,-59,-59,-79,-61,-75,-87,-81,-63,-81
-67,-61,-59,-55,-67,-63,-83,-65,-39,-69,-59,-63,-49,-79,-69,-75,-59,-59,-79,-61,-75,-87,-81,-63,-79
-67,-61,-59,-55,-65,-83,-81,-69,-39,-69,-61,-63,-49,-71,-69,-79,-59,-85,-79,-61,-79,-87,-81,-81,-79
-65,-61,-59,-55,-65,-65,-83,-67,-39,-69,-61,-63,-53,-77,-69,-75,-59,-85,-79,-63,-79,-87,-81,-63,-79
-67,-61,-59,-57,-67,-61,-85,-69,-39,-69,-61,-63,-49,-77,-69,-79,-59,-85,-79,-63,-79,-87,-81,-63,-79
-69,-61,-63,-57,-67,-67,-81,-65,-37,-69,-79,-59,-53,-79,-59,-77,-59,-59,-79,-63,-79,-87,-81,-63,-79
-69,-61,-61,-59,-67,-63,-85,-69,-49,-69,-63,-85,-53,-79,-59,-73,-59,-59,-79,-63,-79,-83,-81,-63,-79
-69,-61,-63,-55,-63,-63,-81,-69,-49,-69,-63,-59,-51,-79,-59,-77,-59,-59,-77,-61,-81,-83,-81,-63,-81
-63,-61,-63,-55,-63,-65,-83,-79,-49,-67,-61,-63,-51,-77,-61,-73,-59,-59,-77,-61,-81,-83,-79,-63,-81
-67,-61,-61,-55,-63,-67,-81,-69,-49,-69,-61,-63,-51,-77,-71,-77,-59,-59,-79,-61,-77,-85,-79,-63,-79
-67,-61,-61,-55,-63,-65,-83,-67,-61,-71,-61,-63,-49,-79,-71,-77,-59,-59,-79,-63,-79,-87,-79,-83,-79
-69,-61,-61,-55,-61,-63,-83,-69,-39,-71,-61,-63,-49,-79,-61,-77,-59,-59,-79,-61,-79,-85,-79,-61,-79
-67,-61,-61,-55,-61,-65,-83,-67,-49,-71,-61,-65,-55,-77,-61,-75,-59,-59,-79,-61,-75,-85,-79,-75,-79
-69,-61,-61,-57,-65,-63,-79,-69,-39,-71,-61,-63,-51,-75,-61,-79,-59,-59,-79,-61,-75,-89,-79,-75,-79
-65,-61,-61,-55,-65,-63,-83,-67,-37,-69,-61,-63,-51,-79,-61,-77,-59,-59,-77,-61,-75,-85,-79,-63,-81
-67,-61,-61,-57,-65,-61,-85,-67,-39,-69,-61,-63,-51,-79,-61,-77,-59,-59,-79,-61,-79,-87,-75,-63,-79
-67,-61,-57,-57,-63,-63,-83,-69,-39,-69,-61,-59,-47,-79,-71,-75,-59,-59,-79,-61,-79,-85,-75,-65,-79
-67,-61,-61,-57,-67,-63,-83,-69,-39,-67,-63,-59,-53,-79,-71,-75,-59,-59,-79,-61,-77,-85,-75,-63,-79
-67,-61,-63,-57,-65,-63,-83,-69,-49,-69,-61,-61,-53,-77,-75,-73,-59,-83,-77,-61,-77,-85,-83,-63,-79
-67,-61,-45,-59,-67,-63,-83,-69,-37,-69,-61,-59,-53,-77,-63,-77,-59,-59,-77,-63,-77,-85,-83,-63,-79
-67,-63,-61,-59,-67,-61,-83,-69,-37,-69,-57,-61,-53,-77,-71,-77,-59,-59,-77,-63,-77,-85,-83,-63,-81
-69,-61,-59,-51,-65,-63,-83,-69,-37,-67,-61,-63,-55,-79,-71,-75,-59,-59,-77,-63,-81,-85,-83,-63,-81
-67,-61,-61,-59,-65,-63,-83,-67,-51,-69,-61,-61,-51,-79,-69,-75,-59,-59,-79,-63,-81,-85,-83,-63,-81
-67,-61,-63,-57,-67,-63,-83,-65,-51,-69,-61,-75,-85,-77,-71,-75,-59,-59,-79,-63,-81,-85,-81,-63,-81
-67,-61,-61,-69,-87,-61,-85,-65,-51,-65,-61,-63,-55,-77,-71,-75,-59,-59,-79,-61,-81,-85,-79,-63,-79
